Location,Climate
Launceston,cool temperate
Sydney,warm temperate
Portland,cool temperate
Adelaide,warm temperate
Walpole,mild temperate
Woomera,"high humidity summer, warm winter"
AliceSprings,"hot dry summer, warm winter"
Canberra,cool temperate
NorfolkIsland,"warm humid summer, mild winter"
SydneyAirport,warm temperate
Hobart,cool temperate
Darwin,"high humidity summer, warm winter"
Perth,warm temperate
Dartmoor,mild temperate
MountGambier,mild temperate
MelbourneAirport,mild temperate
WaggaWagga,"hot dry summer, cool winter"
Cairns,"high humidity summer, warm winter"
CoffsHarbour,"warm humid summer, mild winter"
Brisbane,"warm humid summer, mild winter"
Albury,"hot dry summer, cool winter"
SalmonGums,"hot dry summer, cool winter"
Wollongong,warm temperate
Moree,"hot dry summer, warm winter"
PearceRAAF,warm temperate
MountGinini,cool temperate
BadgerysCreek,cool temperate
PerthAirport,warm temperate
Cobar,warm temperate
Williamtown,warm temperate
Penrith,cool temperate
Albany,mild temperate
Witchcliffe,warm temperate
Ballarat,cool temperate
Mildura,"hot dry summer, cool winter"
Watsonia,"hot dry summer, cool winter"
NorahHead,warm temperate
Tuggeranong,cool temperate
Newcastle,warm temperate
Richmond,mild temperate
Bendigo,cool temperate
GoldCoast,"warm humid summer, mild winter"
Nuriootpa,warm temperate
Melbourne,mild temperate
Sale,mild temperate
Townsville,"high humidity summer, warm winter"
Nhil,cool temperate
Katherine,"high humidity summer, warm winter"
Uluru,"hot dry summer, warm winter"
