,city,Latitude,Longitude,Latitudedir,Longitudedir
0,Launceston,41.4391°,147.1358°,"S,",E
1,Sydney,33.8688°,151.2093°,"S,",E
2,Portland,38.3380°,141.6041°,"S,",E
3,Adelaide,34.9285°,138.6007°,"S,",E
4,Walpole,34.9762°,116.7313°,"S,",E
5,Woomera,3119.88&,136.8251&,,
6,AliceSprings,23.6980°,133.8807°,"S,",E
7,Canberra,35.2802&,149.1310&,,
8,NorfolkIsland,29.0408°,167.9547°,"S,",E
9,SydneyAirport,33.95%,151.1819&,,
10,Hobart,42.8826°,147.3257°,"S,",E
11,Darwin,12.4637°,130.8444°,"S,",E
12,Perth,31.9523°,115.8613°,"S,",E
13,Dartmoor,37.9224°,141.2754°,"S,",E
14,MountGambier,37.8256°,140.7712°,"S,",E
15,MelbourneAirport,37.6730°,144.8520°,"S,",E
16,WaggaWagga,35.1026°,147.3655°,"S,",E
17,Cairns,16.9203°,145.7710°,"S,",E
18,CoffsHarbour,30.2962°,153.1139°,"S,",E
19,Brisbane,27.4705&,153.0160&,,
20,Albury,36.0751°,146.9095°,"S,",E
21,SalmonGums,32.9804&,121.6456&,,
22,Wollongong,34.4248°,150.8931°,"S,",E
23,Moree,29.4653°,149.8416°,"S,",E
24,PearceRAAF,31.6676°,116.0292°,"S,",E
25,MountGinini,35.5294&,148.77%,,
26,BadgerysCreek,33.8751°,150.7634°,"S,",E
27,PerthAirport,31.9385&,115.9672&,,
28,Cobar,31.9385&,115.9672&,,
29,Williamtown,32.8115°,151.8443°,"S,",E
30,Penrith,33.7507°,150.6877°,"S,",E
31,Albany,35.0268°,117.8837°,"S,",E
32,Witchcliffe,34.0262°,115.1002°,"S,",E
33,Ballarat,37.5622&,143.8503&,,
34,Mildura,34.2069&,142.1367&,,
35,Watsonia,37.7101°,145.0828°,"S,",E
36,NorahHead,33.2815°,151.5791°,"S,",E
37,Tuggeranong,35.4244°,149.0888°,"S,",E
38,Newcastle,32.9283°,151.7817°,"S,",E
39,Richmond,37.8239°,144.9983°,"S,",E
40,Bendigo,36.7596°,144.2786°,"S,",E
41,GoldCoast,28.0167°,153.4000°,"S,",E
42,Nuriootpa,34.4730°,138.9957°,"S,",E
43,Melbourne,37.8136°,144.9631°,"S,",E
44,Sale,38.1051°,147.0680°,"S,",E
45,Townsville,19.2590°,146.8169°,"S,",E
46,Nhil,36.3328°,141.6503°,"S,",E
47,Katherine,14.4520°,132.2699°,"S,",E
48,Uluru,25.3444&,131.0369&,,
